rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1739181590.49,0.0,0.0,0.0,09.59.49,25.48848295,51.450319983,2.1,,,,,,,,,585.671,0.0,54301.0,-20.0,705_202502_10_0955_53_0002368,,,0,0,0
1,1739181590.6,0.1099998950958252,0.0,0.0,09.59.49,25.48848295,51.450319983,2.1,,,,,,,,,585.671,0.0,54301.0,-20.0,705_202502_10_0955_53_0002369,,,0,0,0
2,1739181590.69,0.20000004768371582,0.0,0.0,09.59.49,25.48848295,51.450319983,2.1,,,,,,,,,585.671,0.0,54301.0,-20.0,705_202502_10_0955_53_0002370,,,0,0,0
3,1739181590.79,0.2999999523162842,0.0,0.0,09.59.49,25.48848295,51.450319983,2.1,,,,,,,,,585.671,0.0,54301.0,-20.0,705_202502_10_0955_53_0002371,,,0,0,0
4,1739181590.89,0.40000009536743164,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-17.0,705_202502_10_0955_53_0002372,,,0,0,0
5,1739181590.99,0.5,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-17.0,705_202502_10_0955_53_0002373,,,0,0,0
6,1739181591.1,0.6099998950958252,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54300.0,-19.0,705_202502_10_0955_53_0002374,,,0,0,0
7,1739181591.19,0.7000000476837158,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54300.0,-19.0,705_202502_10_0955_53_0002375,,,0,0,0
8,1739181591.3,0.809999942779541,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-20.0,705_202502_10_0955_53_0002376,,,0,0,0
9,1739181591.4,0.9100000858306885,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-20.0,705_202502_10_0955_53_0002377,,,0,0,0
10,1739181591.5,1.0099999904632568,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-20.0,705_202502_10_0955_53_0002378,,,0,0,0
11,1739181591.6,1.1099998950958252,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54301.0,-20.0,705_202502_10_0955_53_0002379,,,0,0,0
12,1739181591.7,1.2100000381469727,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54302.0,-19.0,705_202502_10_0955_53_0002380,,,0,0,0
13,1739181591.8,1.309999942779541,0.7578125633632937,0.7578125633632937,09.59.50,25.48848295,51.450312433,2.2,,,,,,,,,-0.006,-585.677,54302.0,-19.0,705_202502_10_0955_53_0002381,,,0,0,0
14,1739181591.9,1.4100000858306885,1.5179391638103694,1.5179391638103694,09.59.51,25.488482417,51.450304883,2.2,,,,,,,,,-0.006,-585.677,54299.0,-15.0,705_202502_10_0955_53_0002382,,,0,0,0
15,1739181592.0,1.5099999904632568,1.5179391638103694,1.5179391638103694,09.59.51,25.488482417,51.450304883,2.2,,,,,,,,,-0.006,-585.677,54299.0,-15.0,705_202502_10_0955_53_0002383,,,0,0,0
16,1739181592.09,1.5999999046325684,1.5179391638103694,1.5179391638103694,09.59.51,25.488482417,51.450304883,2.2,,,,,,,,,-0.006,-585.677,54301.0,-16.0,705_202502_10_0955_53_0002384,,,0,0,0
17,1739181592.2,1.7100000381469727,1.5179391638103694,1.5179391638103694,09.59.51,25.488482417,51.450304883,2.2,,,,,,,,,-0.006,-585.677,54301.0,-16.0,705_202502_10_0955_53_0002385,,,0,0,0
18,1739181592.29,1.7999999523162842,1.5179391638103694,1.5179391638103694,09.59.51,25.488482417,51.450304883,2.2,,,,,,,,,-0.006,-585.677,54302.0,-16.0,705_202502_10_0955_53_0002386,,,0,0,0
